ID2,title,amenityfeatures,description,streetaddress,type,city,state,Year,unclear_address,unclear type or question,notes,Last Modified
1,Delta Service Station,Cruisy Area,,,Cruising Areas,Anniston,AL,1987,checked,,,1/28/2022 2:05pm
2,Fort McClellan Mall,Cruisy Area,,,Cruising Areas,Anniston,AL,1987,checked,,,1/28/2022 2:05pm
3,Lagarde Park,Cruisy Area,,,Cruising Areas,Anniston,AL,1987,checked,,,1/28/2022 2:05pm
4,Noble St.,Cruisy Area,betw. 8th & 16th,,Cruising Areas,Anniston,AL,1987,checked,,,1/28/2022 2:05pm
5,Gay Awareness,,,"P.O. Box 821, Auburn 36830",Organization,Auburn,AL,1987,checked,,,1/31/2022 12:30pm
6,Haley Center,Cruisy Area,(4th floor),,Cruising Areas,Auburn,AL,1987,checked,,,1/28/2022 2:12pm
7,Library & Sanford Park,Cruisy Area,nr. Langton Hall (Auburn Univ.),,Cruising Areas,Auburn,AL,1987,checked,,,1/28/2022 2:12pm
8,Autaugaville Rec. Park,"Cruisy Area,(B),(AYOR)",,,Cruising Areas,Autaugaville,AL,1987,checked,,,1/28/2022 2:41pm
9,Jr. Food Store ,"(B),Cruisy Area",(Late nights),,Cruising Areas,Autaugaville,AL,1987,checked,,,1/28/2022 2:41pm
10,Alabama Adult Books ,,,901 5th Ave. N.,"Book Store,Erotic Shop",Birmingham,AL,1987,,,,1/28/2022 10:43pm
11,Alabama Forum ,,(Publication) ,"Box 55913, Birm. 35255",Publication,Birmingham,AL,1987,checked,,,7/13/2022 8:52am
12,Basics,"(P),(L),(AH),(WE)",(Some L)(AH-WE*)(Cl. Mon-Tue),912 N. 19th St.,Bars/Clubs,Birmingham,AL,1987,,,,1/28/2022 2:41pm
13,Bill's Club ,"(*),(L),(D),(S)",(Many L),208 N. 23rd St.,Bars/Clubs,Birmingham,AL,1987,,,,1/28/2022 2:41pm
14,Birmingham Adult Books ,,,7610 1st Ave. N.,"Book Store,Erotic Shop",Birmingham,AL,1987,,,,1/28/2022 10:43pm
15,Bootsie's Bohemia ,,(Deli & Coffee House),2921 Highland,Restaurant,Birmingham,AL,1987,,,,1/28/2022 2:41pm
16,Casbah ,"(*),(D),(M),(S)",(Disco) ,117 1/2 21st St. N.,Bars/Clubs,Birmingham,AL,1987,,,,1/28/2022 2:43pm
17,Downunder,(D),(Cruise bar) ,2105 2nd Ave. N.,Bars/Clubs,Birmingham,AL,1987,,,,1/28/2022 2:45pm
18,"Gay Center & S.E.C.L.G.M., Inc. ",,(205) 939-1543,,Community Center/Support Group,Birmingham,AL,1987,checked,,,1/28/2022 2:45pm
19,Gizmo,"(D),(WE),(AH)",(WE-AH*) ,909 S. 22nd St.,Bars/Clubs,Birmingham,AL,1987,,,,1/28/2022 2:46pm
20,Lodestar Books ,(L),(Some L) ,2020 11th Ave. S.,Book Store,Birmingham,AL,1987,,,,1/28/2022 2:47pm
21,M.C.C. ,(MCC),,2024 8th Ct. S.,Religious Institution,Birmingham,AL,1987,,,,1/28/2022 2:47pm
22,My Leathers,,Shop at Quest,,Erotic Shop,Birmingham,AL,1987,checked,,,3/17/2022 2:17pm
23,Neon's,,(Cards & gifts) ,2835 Highland Ave.,Business,Birmingham,AL,1987,,,,1/28/2022 2:48pm
24,Pleasure Books ,,,7606 1st Ave. N.,Book Store,Birmingham,AL,1987,,,,1/28/2022 2:48pm
