ID2,title,streetaddress,description,city,state,amenityfeatures,type,unclear_address,unclear type or question,notes,Year,Last Modified
1,Lagarde Park,,,Anniston,AL,Cruisy Area,Cruising Areas,checked,,,1995,11/29/2022 5:14am
2,Noble St.,btwn. 8th & 16th,,Anniston,AL,Cruisy Area,Cruising Areas,checked,,,1995,11/29/2022 5:16am
3,"Ultra Box, The",136 W. Magnolia Ave.,"826-3491 9pm-2am, DJ til 4am Th-Fri, clsd Sun-Mon, CW Th",Auburn,AL,"(GF),(D),(PC),(WC)",Bars,,,,1995,11/29/2022 5:18am
4,Haley Center Library & Sanford Park,,"nr. Langton Hall, Auburn U",Auburn,AL,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1995,11/29/2022 5:20am
5,Autaugaville Rec. Park,,(AYOR),Autaugaville,AL,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1995,11/29/2022 5:21am
6,AA Gay/Lesbian,,"(at Lambda Resource Center) 933-8964 (AA#) 8pm Wed & Fri, 6pm Sun",Birmingham,AL,,Info Lines & Services,checked,,,1995,11/29/2022 5:22am
7,Community Real Estate Referrals,,(800)346-5592 gay realtor at your service,Birmingham,AL,,Info Lines & Services,checked,,,1995,11/29/2022 5:23am
8,Lambda Resource Center,205 32nd St. S.,"326-8600, info line 6pm-10pm, from 1pm wknds; library; drop-in coffeehouse 7pm-10pm Th-Sat; men's night 2nd Mon 7pm",Birmingham,AL,,Info Lines & Services,,,,1995,11/29/2022 5:24am
9,22nd Street Jazz Cafe,710 22nd St. S.,"252-0407 clsd Sun-Mon, Alternative Night Wed",Birmingham,AL,"(GF),(F),(E),(S)",Bars,,,,1995,11/29/2022 5:26am
10,Bill's Club,208 N. 23rd St.,"254-8634 6pm-4am, from 5pm Sun, clsd Mon",Birmingham,AL,"(W),(D),(E),(WC)",Bars,,,,1995,11/29/2022 5:27am
11,Buchanan's,414 21st St. S.,"328-4337 4pm-2am, til 4am Fri-Sat, DJ Wed-Sun",Birmingham,AL,"(*),(MW),(NH),(D)",Bars,,,,1995,11/29/2022 5:29am
12,Club 21,117 1/2 21st St. N.,322-0469 9pm-4am Sat only,Birmingham,AL,"(GF),(D),(MRC-AF),(S)",Bars,,,,1995,11/29/2022 5:30am
13,Quest,416 24th St. S.,"251-4313 24hrs, patio, DJ Th-Sun",Birmingham,AL,(CW),Bars,,,,1995,11/29/2022 5:31am
14,Anthony's,2131 7th Ave. S.,"324-1215, lunch & dinner, full bar",Birmingham,AL,,Restaurants & Cafes,,,,1995,11/29/2022 5:31am
15,Casey's Gym,"8 Office Park Cir., Hwy. 280, Mountain Brook","870-1779 6am-9pm, til 6pm Sat, from noon Sun",Birmingham,AL,(GF),Gyms & Health Clubs,,,,1995,11/29/2022 5:33am
16,Lodestar Books,2020 11th Ave. S.,"939-3356, 10am-6pm, from 1pm Sun, alternative books",Birmingham,AL,,Bookstores/Retail Shops,,,,1995,11/29/2022 5:34am
17,Village Travel,1929 Cahaba Rd.,870-4866/ (800)999-2899,Birmingham,AL,,Travel/Tour Operators,,,,1995,11/29/2022 5:35am
18,Alabama Forum,"Box 55894, 35255",328-9228,Birmingham,AL,,Publications,checked,,,1995,11/29/2022 5:35am
19,Alabama Adult Books,901 5th Ave. N.,"322-7323, 24hrs",Birmingham,AL,,Erotica,,,,1995,11/29/2022 5:36am
20,Birmingham Adult Books,7610 1st Ave. N.,"836-1580, 24hrs",Birmingham,AL,,Erotica,,,,1995,11/29/2022 5:37am
21,"Downtown Bookstore, The",2731 8th Ave. N.,328-5525,Birmingham,AL,,Erotica,,,,1995,11/29/2022 5:38am
22,Jupiter Theater,2500 7th Ave. S.,"324-4552, large screen movies",Birmingham,AL,,Erotica,,,,1995,11/29/2022 5:38am
23,Pleasure Books,7606 1st Ave. N.,836-7379,Birmingham,AL,,Erotica,,,,1995,11/29/2022 5:39am
24,Top Hat Cinema,9221 Todd Dr.,833-8221,Birmingham,AL,,Erotica,,,,1995,11/29/2022 5:39am
25,Point Mallard Park,,Swimmin' Hole (Summers),Decatur,AL,Cruisy Area,Cruising Areas,checked,,,1995,11/29/2022 5:41am
26,"""The Pumps""",,(AYOR),Decatur,AL,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1995,11/29/2022 5:42am
27,Chuckle Bee's,134-A Forest St.,794-0230 9pm-6am Th-Sun,Dothan,AL,"(MW),(D),(S)",Bars,,,,1995,11/29/2022 5:43am
28,Veterans Park,,"(Days, AYOR)",Florence,AL,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1995,11/29/2022 5:43am
29,Wilson Park,,"(Nights, AYOR)",Florence,AL,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1995,11/29/2022 5:44am
30,Nitro,2461 E. Meighan Blvd.,"492-9724 8pm-2am, clsd Mon-Tues",Gadsden,AL,"(MW),(D),(S)",Bars,,,,1995,11/29/2022 5:45am
31,GALOP (Gay & Lesbian Org. of Professionals),"PO Box 914, 35804",517-6127 meets 4th Th at 2400 Bob Wallace,Huntsville,AL,,Info Lines & Services,checked,,,1995,11/29/2022 5:46am
32,Pink Triangle Alliance,,"539-4235 resource & info line, 9am-9am",Huntsville,AL,,Info Lines & Services,checked,,,1995,11/29/2022 5:47am
33,Vieux Carre,1204 Posey,"534-5970 7pm-2am, from 4pm Sun, patio, karaoke Tues, country/western Wed, DJ Fri-Sat, show Sun",Huntsville,AL,"(MW),(NH),(D),(E)",Bars,,,,1995,11/29/2022 5:49am
34,Tallulah Bankhead Pkwy.,,all overlooks (AYOR),Huntsville,AL,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1995,11/29/2022 5:49am
35,Southern Support Services,"PO Box 1053, 36784-1073","support group for Thomasville, Demopolis, Selma & Jackson",Jackson,AL,,Info Lines & Services,checked,,,1995,11/29/2022 5:51am
36,Germania Springs,,,Jacksonville,AL,Cruisy Area,Cruising Areas,checked,,,1995,11/29/2022 5:52am
37,B-Bob's,6157 Airport Blvd. #201,341-0102 5pm-?,Mobile,AL,"(MW),(D),(F),(E),(HPC)",Bars,,,,1995,11/29/2022 5:53am
38,Frontiers,7 S. Joachim St.,,Mobile,AL,"(MW),(D),(F),(E),(PC)",Bars,,,,1995,11/29/2022 5:54am
39,Gabriel's Downtown,55 S. Joachim St.,432-4900 5pm-?,Mobile,AL,"(V),(PC)",Bars,,,,1995,11/29/2022 5:55am
40,Golden Rod,219 Conti,"433-9175 7:30am-?, 24hrs Fri-Sun",Mobile,AL,"(MW),(PC)",Bars,,,,1995,11/29/2022 5:56am
41,Society Lounge,51 S. Conception,433-9141 noon-?,Mobile,AL,"(MW),(D),(S),(PC)",Bars,,,,1995,11/29/2022 5:58am
42,Troopers,215 Conti St.,"433-7436 4pm-?, cruisy",Mobile,AL,"(NH),(PC)",Bars,,,,1995,11/29/2022 5:58am
43,Midtown Cinema,270 Dauphin St.,438-9910,Mobile,AL,,Erotica,,,,1995,11/29/2022 5:59am
44,Black & White Men Together (BWMT),,284-2421,Montgomery,AL,,Info Lines & Services,checked,,,1995,11/29/2022 5:59am
45,Lambda Triangle Center,609 S. Hull St.,"834-0018, 6pm-8pm Tues-Th, til 11pm Fri (cafe)",Montgomery,AL,,Info Lines & Services,,,,1995,11/29/2022 6:00am
46,"Montgomery Institute, The",,"244-9623 transgender info, contact Cristine",Montgomery,AL,,Info Lines & Services,checked,,,1995,11/29/2022 6:01am
47,Lattice Inn,1414 S. Hull St.,832-9931 full brkfst,Montgomery,AL,"(GF),(SW),(N)",Accommodations,,,,1995,11/29/2022 6:02am
48,Hojons,215 N. Court St.,"269-9672 8pm-?, til 2am Sat, clad Sun-Mon",Montgomery,AL,"(MW),(D),(S)",Bars,,,,1995,11/29/2022 6:03am
49,Jimmy Mac's,211 Lee St.,"264-5933 5pm-?, country/western Wed",Montgomery,AL,"(MW),(NH),(WC)",Bars,,,,1995,11/29/2022 6:04am
50,Cooter Pond,,(AYOR),Montgomery,AL,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1995,11/29/2022 6:04am
51,McInnis area,,(AYOR),Montgomery,AL,"Cruisy Area,(AYOR)",Cruising Areas,checked,,,1995,11/29/2022 6:10am
52,G/L/B Alliance,,U. of Alabama 348-7210,Tuscaloosa,AL,,Info Lines & Services,checked,,,1995,11/29/2022 6:11am
53,Michael's,2201 6th St.,"758-9223 6pm-?, clsd Sun",Tuscaloosa,AL,"(MW),(D),(S),(WC)",Bars,,,,1995,11/29/2022 6:11am
54,Illusions,519 College Prk.,"349-5725, hrs vary, progressive titles",Tuscaloosa,AL,,Bookstores/Retail Shops,,,,1995,11/29/2022 6:12am
55,AA Gay/Lesbian,at 1231 W. 27th Ave.,"272-2312 (AA#) 7pm Mon & Th, call fore more mtgs.",Anchorage,AK,,Info Lines & Services,,,,1995,11/29/2022 6:14am
56,Anchorage Garden Buddies,"PO Box 104858, 99510",monthly men's social club,Anchorage,AK,,Info Lines & Services,checked,,,1995,11/29/2022 6:15am
57,Anchorage Gay/Lesbian Help Line,,"258-4777, irregular hours, leave message",Anchorage,AK,,Info Lines & Services,checked,,,1995,11/29/2022 6:16am
58,Aurora Borealis B&B,211 W. Cook,"277-3862 5 min. to downtown, nice view",Anchorage,AK,(MW),Accommodations,,,,1995,11/29/2022 6:17am
59,Aurora Winds Executive B&B,7501 Upper O'Malley,346-2533 upscale guesthouse with many amenities,Anchorage,AK,"(MW),(IGTA)",Accommodations,,,,1995,11/29/2022 6:18am
60,"Lodge at Eagle River, The","PO Box 90154, 99509","278-7575 3 bdrms great views, on 2 acres, deck, hot tub",Anchorage,AK,(IGTA),Accommodations,checked,,,1995,11/29/2022 6:19am
61,Northern Comfort B&B,2433 Glenwood St.,278-2106 sauna,Anchorage,AK,(MW),Accommodations,,,,1995,11/29/2022 6:29am
62,Blue Moon,530 E. 5th Ave.,277-0441 1pm-2:30am,Anchorage,AK,"(MW),(D),(S)",Bars,,,,1995,11/29/2022 6:30am
63,Raven,618 Gambell,276-9672 11am-2:30am,Anchorage,AK,"(MW),(NH),(WC)",Bars,,,,1995,11/29/2022 6:31am
64,O'Brady's Burgers & Brew,6901 E. Tudor Rd.,"338-1080, 10am-midnight, some veggie",Anchorage,AK,,Restaurants & Cafes,,,,1995,11/29/2022 6:32am
65,Alaska Women's Bookstore,2440 E. Tudor Rd.,"562-4716, 11am-7pm, 10am-6pm Fri-Sat, clsd Sun, large selection of gay men's titles",Anchorage,AK,,Bookstores/Retail Shops,,,,1995,11/29/2022 6:33am
66,Cyrano's Bookstore & Cafe,413 'D' St.,274-2599 10am-10pm,Anchorage,AK,"(F),(BW),(WC)",Bookstores/Retail Shops,,,,1995,11/29/2022 6:34am
67,Apollo,1207 West 47th Ave.,561-0661/(800)770-0661,Anchorage,AK,(IGTA),Travel/Tour Operators,,,,1995,11/29/2022 6:35am
68,Identity Northview,"PO Box 200070, 99520",258-4777 monthly newsletter; also sponsors Fourth Fri Potluck Social,Anchorage,AK,,Publications,checked,,,1995,11/29/2022 6:36am
69,Adults Only Bookstore,3956 Spenard Rd.,243-0697,Anchorage,AK,,Erotica,,,,1995,11/29/2022 6:36am
70,Anchorage Video Mart,137 W. 5th Ave.,"276-9224, 24hrs",Anchorage,AK,,Erotica,,,,1995,11/29/2022 6:37am
71,French Quarter,4028 Mountain View,276-9049,Anchorage,AK,,Erotica,,,,1995,11/29/2022 6:37am
72,La Sex Shoppe,305 W. Diamond Blvd.,"522-1987, 24hrs",Anchorage,AK,,Erotica,,,,1995,11/29/2022 6:38am
73,Swinger Book Store,710 W. Northern Lights Blvd.,"561-5039, 24hrs",Anchorage,AK,,Erotica,,,,1995,11/29/2022 6:39am
74,Alta B&B,5132 Haystack Mountain Rd. ,"457-0246 outskirts of town, great northern lights",Fairbanks,AK,(MW),Accommodations,,,,1995,11/29/2022 6:41am
75,Fairbanks College Bunkhouse,1541 Westwood Way,479-2627 'hostel-style',Fairbanks,AK,,Accommodations,,,,1995,11/29/2022 6:42am
76,Palace Saloon,Alaskaland,"456-5960 4pm-9pm, 11pm-4am Fri-Sat, more gay Fri & Sat, mostly tourist in summer",Fairbanks,AK,"(GF),(D),(E)",Bars,checked,,,1995,11/29/2022 6:43am
77,Fantasyland Video,1765 Richardson Hwy.,"488-0879, 24hrs",Fairbanks,AK,,Erotica,,,,1995,11/29/2022 6:44am
78,Island Watch,,235-2265 cabin & suite,Homer,AK,"(GF),(WC)",Accommodations,checked,,,1995,11/29/2022 6:44am
79,Inn at the Summit Waterfront Cafe,455 S. Franklin St.,"586-2050, 5:30pm-10pm, American",Juneau,AK,,Restaurants & Cafes,,,,1995,11/29/2022 6:45am
80,St. Elmo's,36 Brewery Gulch Ave.,"432-5578 10am-1am, live bands Fri-Sat",Bisbee,AZ,"(GF),(F)",Bars,,,,1995,11/29/2022 6:47am
